ID,translation_len,total_duration_translation,load_duration_translation,prompt_eval_count_translation,prompt_eval_duration_translation,eval_count_translation,eval_duration_translation,translation_time,configuration_len,total_duration_configuration,load_duration_configuration,prompt_eval_count_configuration,prompt_eval_duration_configuration,eval_count_configuration,eval_duration_configuration,configuration_time,number_of_objectives,Type
1,1655,3.4949755849,6.8685e-06,788,2.0607460833333335,377,1.43416885,0:03:30,1655,2.943741908283333,4.474483333333333e-06,591,1.5655117833333334,379,1.3781667833333333,02:57.0,1,1
2,1684,3.7557483320833334,5.310033333333333e-06,780,2.083885433333333,461,1.67179215,0:03:45,889,2.3059834655,4.085633333333334e-06,675,1.7671578666666667,152,0.5387765166666667,02:18.0,4,2
3,1352,3.20090639295,4.57605e-06,788,2.0823295,313,1.1185175666666667,0:03:12,946,2.0672833475666668,4.521216666666667e-06,527,1.36538615,199,0.7018377166666667,02:04.0,2,1
4,1486,3.1618202328166665,6.108916666666667e-06,791,2.106667266666667,291,1.0550846666666667,0:03:10,949,1.89911242015,4.480383333333334e-06,505,1.30942695,168,0.5896344166666667,01:54.0,4,2
5,2126,3.87710535735,4.607133333333334e-06,790,2.1118571833333335,491,1.7651944166666667,0:03:53,1007,2.4358272796,4.973483333333333e-06,705,1.8462787333333333,166,0.5894906833333333,02:26.0,3,3
6,4346,6.14517272465,4.410516666666667e-06,790,2.0742512,1106,4.070860266666666,0:06:09,1368,4.769538534683333,4.8940333333333335e-06,1320,3.565541366666667,325,1.2039137666666666,04:46.0,3,3
7,3672,6.29046303495,4.746233333333333e-06,787,2.071200033333333,1146,4.219204366666666,0:06:17,4522,10.2603821796,5.1179666666666666e-06,1360,3.6603625666666666,1745,6.599941133333333,10:16.0,3,1
8,1833,3.6320592544666668,4.784816666666667e-06,798,2.1087667,424,1.5232269166666668,0:03:38,481,1.9107507998166666,4.58725e-06,638,1.6864744,65,0.22420971666666667,01:55.0,6,4
9,2522,4.465717771216666,5.810883333333333e-06,790,2.1071587,642,2.358497416666667,0:04:28,2162,4.5823016775,4.595483333333334e-06,856,2.3674224,568,2.21480555,04:35.0,5,2
10,453,2.3344624772333336,6.566483333333333e-06,794,2.11389835,62,0.22049228333333334,0:02:20,793,1.3732913163166667,4.269366666666667e-06,276,0.7065881833333333,194,0.6666670833333334,01:22.0,3,1
11,1378,3.24980505645,5.7057e-06,789,2.0741543166666667,329,1.1755944166666668,0:03:15,1680,3.1913292202,4.614866666666667e-06,543,1.4299675666666667,497,1.7613066666666666,03:11.0,6,2
12,2349,4.1291686247,6.56275e-06,790,2.10862295,556,2.0204788833333334,0:04:08,1475,3.2124517059833333,4.4423166666666665e-06,770,2.01140515,336,1.20098605,03:13.0,4,5
13,2586,5.03988350335,6.3920833333333335e-06,787,2.05007315,824,2.98973915,0:05:02,2609,5.810683640116666,4.62765e-06,1038,2.7718719833333334,826,3.038740466666667,05:49.0,3,1
14,2076,4.029718349766667,4.8019e-06,790,2.07504025,540,1.9546168833333333,0:04:02,1605,3.208469964233333,4.439666666666667e-06,754,1.9953774,341,1.2130363166666667,03:13.0,4,2
15,2744,5.243935259033333,5.14175e-06,782,2.068228566666667,869,3.1756534,0:05:15,3096,6.351703223566667,4.60245e-06,1083,2.9069596833333335,933,3.4446780833333333,06:21.0,1,2
16,2308,4.0448567253666665,4.732883333333333e-06,786,2.064370183333333,551,1.9804324,0:04:03,551,2.3474150660333333,4.571766666666667e-06,765,2.034905683333333,89,0.31244736666666667,02:21.0,4,4
17,10501,14.149776564183334,4.773583333333334e-06,788,2.08044365,3243,12.069279283333334,0:14:09,854,4.658222647666666,"0,005804",1418,3.8008069333333334,233,0.8572707666666667,04:39.0,2,2
18,2322,5.289495414866667,5.31845e-06,795,2.1024029333333334,876,3.1870326,0:05:17,2351,6.05673046705,4.34275e-06,1088,2.89341845,860,3.1632452166666667,06:03.0,8,2
